Wed 4 Feb 2026 21:34:29, GET, 500, /api/games/, 8 ms
Wed 4 Feb 2026 21:39:34, GET, 200, /api/games/, 6 ms
Wed 4 Feb 2026 21:39:34, GET, 404, /favicon.ico, 2 ms
Wed 4 Feb 2026 21:40:44, GET, 200, /api/games/, 6 ms
Wed 4 Feb 2026 21:40:44, GET, 404, /favicon.ico, 2 ms
Wed 4 Feb 2026 21:40:45, GET, 200, /api/games/, 2 ms
Wed 4 Feb 2026 21:40:45, GET, 404, /favicon.ico, 1 ms
Wed 4 Feb 2026 21:40:45, GET, 200, /api/games/, 1 ms
Wed 4 Feb 2026 21:40:45, GET, 404, /favicon.ico, 0 ms
Wed 4 Feb 2026 21:45:01, GET, 200, /api/games/, 7 ms
Wed 4 Feb 2026 21:45:01, GET, 404, /favicon.ico, 3 ms
Wed 4 Feb 2026 21:45:28, GET, 200, /api/games/, 6 ms
Wed 4 Feb 2026 21:45:28, GET, 404, /favicon.ico, 3 ms
Wed 4 Feb 2026 21:46:19, GET, 200, /api/games/, 6 ms
Wed 4 Feb 2026 21:46:19, GET, 404, /favicon.ico, 2 ms
Wed 4 Feb 2026 21:47:38, GET, 200, /api/games/, 7 ms
Wed 4 Feb 2026 21:47:38, GET, 404, /favicon.ico, 1 ms
Wed 4 Feb 2026 21:56:14, GET, 400, /api/games/creat, 8 ms
Wed 4 Feb 2026 21:56:14, GET, 404, /favicon.ico, 2 ms
Wed 4 Feb 2026 21:56:18, GET, 400, /api/games/create, 2 ms
Wed 4 Feb 2026 21:56:18, GET, 404, /favicon.ico, 1 ms
Wed 4 Feb 2026 21:56:32, GET, 201, /api/games/create/game, 6 ms
Wed 4 Feb 2026 21:57:14, GET, 201, /api/games/create/game, 7 ms
Wed 4 Feb 2026 21:58:09, GET, 201, /api/games/create/game, 13 ms
Wed 4 Feb 2026 21:58:21, GET, 201, /api/games/create/game, 9 ms
Wed 4 Feb 2026 21:58:21, GET, 404, /favicon.ico, 2 ms
Wed 4 Feb 2026 21:58:31, GET, 201, /api/games/create/game, 8 ms
Wed 4 Feb 2026 21:58:49, GET, 201, /api/games/create/game, 12 ms
Wed 4 Feb 2026 21:58:49, GET, 404, /favicon.ico, 2 ms
Wed 4 Feb 2026 21:59:29, GET, 201, /api/games/create/game, 14 ms
Wed 4 Feb 2026 22:00:05, GET, 201, /api/games/create/game, 10 ms
Thu 5 Feb 2026 20:00:32, GET, 404, /, 7 ms
Thu 5 Feb 2026 20:00:46, GET, 304, /api/games/create/game, 6 ms
Thu 5 Feb 2026 20:01:07, GET, 201, /api/games/create/game, 8 ms
Thu 5 Feb 2026 20:01:07, GET, 404, /favicon.ico, 4 ms
Thu 5 Feb 2026 20:07:44, GET, 201, /api/games/create/game, 13 ms
Thu 5 Feb 2026 20:12:28, GET, 201, /api/games/create/game, 8 ms
Thu 5 Feb 2026 20:16:35, GET, 404, /, 4 ms
Thu 5 Feb 2026 20:16:42, GET, 200, /api/games, 3 ms
Thu 5 Feb 2026 20:16:42, GET, 404, /favicon.ico, 0 ms
Thu 5 Feb 2026 20:24:09, GET, 404, /, 4 ms
